project_name,objectid,province_territory,project_size,commissioning_date,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,derated_uprated,rotor_diameter_m,rotor_dia_assumed,hub_height_m,hub_height_assumed,latitude,longitude,manufacturer,model
Vents du Kempt,5739,Quebec,43,2014,101.05,VDK9,9/43,2350.0,Neither,92.0,False,80.0,False,48.344258117918,-67.0415412929533,Enercon,E-92 2.35
Viger-Denonville,5643,Quebec,12,2013,24.6,VDE9,9/12,2050.0,Neither,92.0,False,100.0,False,47.9294656681566,-69.2051707725204,Senvion,MM92
WEICan R&D Park,4542,Prince Edward Island,5,2013,10.0,WRD5,5/5,2000.0,Neither,93.0,False,80.0,False,47.0416617,-64.011798,DeWind,DeWind 9.2
Wainfleet,3494,Ontario,5,2014,9.0,WAI5,5/5,1800.0,Neither,100.0,False,95.0,False,42.902036364398,-79.3747003839063,Vestas,V100/1800
Walton,1752,Nova Scotia,1,2016,1.99,WAN1,1/1,1990.0,Neither,100.0,False,95.0,False,45.197358,-63.968987,Vestas,V100
Waterton Wind Turbines,31,Alberta,6,2002,3.78,WWT6,6/6,660.0,Neither,47.0,False,50.0,False,49.2330687371414,-113.630213392164,Vestas,V47/660
Watford Wind Farm,2757,Ontario,4,2012,10.0,WAF4,4/4,2500.0,Neither,99.8,False,80.0,False,42.9235528709022,-81.8963141491769,Samsung Renewable Energy,25xc
Watts Wind,1618,Nova Scotia,1,2011,1.5,WAW1,1/1,1500.0,Neither,77.0,False,85.0,False,44.899062,-62.466061,Vensys,V77
Wedgeport,1738,Nova Scotia,1,2015,1.6,WGP1,1/1,1600.0,Neither,82.5,False,80.0,False,43.749672,-66.011934,GE,GE 1.6-82.5
West Cape Wind Farm,4537,Prince Edward Island,55,2009,99.0,WCW9,9/55,1800.0,Neither,80.0,False,78.0,False,46.73317,-64.3613591,Vestas,V80
Western Lily,6680,Saskatchewan,10,2019,20.0,WLY9,9/10,2000.0,Neither,82.0,False,85.0,False,50.394204,-103.009404,Enercon,E82
Whittington,3955,Ontario,3,2015,6.15,WHT3,3/3,2050.0,Neither,92.0,False,100.0,False,44.0073628409826,-80.1583026584239,Senvion,MM92
Whynotts,1658,Nova Scotia,2,2014,4.0,WHY2,2/2,2000.0,Neither,100.0,False,95.0,False,44.407607,-64.466618,Vestas,V100/2000
Wintering Hills,484,Alberta,55,2011,88.0,WIH9,9/55,1600.0,Neither,82.5,False,80.0,False,51.2573987163814,-112.49452,GE,GE 1.6XLE
Wolfe Island,2348,Ontario,86,2009,197.8,WOL9,9/86,2300.0,Neither,101.0,False,80.0,False,44.1920147715229,-76.3693004862119,Siemens,SWT 2.3-101
Zurich,2468,Ontario,1,2010,0.8,ZUR1,1/1,800.0,Neither,48.0,False,76.0,False,43.423685,-81.656342,Enercon,E-48/800
